"Adresse","Title 1","Occurrences","Hreflang HTML 1","URL hreflang HTML 1","Hreflang HTTP 1","URL hreflang HTTP 1","Hreflang du sitemap 1","URL hreflang du sitemap 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/papeterie-scolaire-familiale.r.html","Papeterie scolaire et familiale chez Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/carte-enveloppe-papier.r.html","Carte, Enveloppe - achat en ligne pas cher","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/papeterie/lives.r.html","Livres Créatifs - Arts, Loisirs Créatifs, Coloriage | Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/papier-decoratif-papier-decopatch.r.html","Papier décoratif - Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/librairie-beaux-arts-loisirs-creatifs.r.html","Librairie chez Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/enfant-maquette-construction.r.html","Jeux de construction et maquettes pour les enfants sur Rougier et Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/carcasse-abat-jour-polyphane.r.html","Carcasse d'abat-jour, Polyphane","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/normographe.r.html","Normographe sur Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/carton-plume-carton-mousse-carton-gris-carton-bois.r.html","Carton plume, Carton mousse, Carton gris, Carton bois","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/adhesif.r.html","Adhésif et Ruban adhésif - Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/protection-donnees-personnelles-privee.r.html","Protection des données personnelles  - Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/fetes-maquillage.r.html","DIY Fête, Anniversaire des enfants sur Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/modelage-pate-modeler.r.html","Modelage enfant, Moulage enfant sur Rougier & Plé<br />","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/enfant-objet-decorer.r.html","Objet en bois, Objet en papier mâché, Objet polystyrène | Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/enfant-customisation.r.html","Customisation DIY enfants sur Rougier & Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/papier-kraft-2998.r.html","Papier kraft sur Rougier&Plé","0","","","","","","","Indexable",""
"https://www.rougier-ple.fr/resine.r.html","Résine de moulage sur Rougier & plé","0","","","","","","","Indexable",""
