"Adresse","Type de contenu","Code HTTP","Statut","Version HTTP","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Meta Robots 1","Balise X-Robots 1"
"https://www.rougier-ple.fr/pate-modeler-1598.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/pate-modeler-1598.r.html","",""
"https://www.rougier-ple.fr/papier-technique.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/papier-technique.r.html","",""
"https://www.rougier-ple.fr/VAD/resources/js/merchandising/visio.js","text/javascript","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/accessoire-arts-graphiques.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/accessoire-arts-graphiques.r.html","",""
"https://www.rougier-ple.fr/gomme-1591.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/gomme-1591.r.html","",""
"https://www.rougier-ple.fr/encadrement/cadre-en-bois.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/encadrement/cadre-en-bois.r.html","",""
"https://www.rougier-ple.fr/cyanotype.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/cyanotype.r.html","",""
"https://www.rougier-ple.fr/colle-adhesif.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/colle-adhesif.r.html","",""
"https://www.rougier-ple.fr/cosmetiques.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/cosmetiques.r.html","",""
"https://www.rougier-ple.fr/puzzle-enfants.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/puzzle-enfants.r.html","",""
"https://www.rougier-ple.fr/crayon-de-couleur-feutre.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/crayon-de-couleur-feutre.r.html","",""
"https://www.rougier-ple.fr/library/layer/menu_item_0.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/VAD/resources/js/dictionary/dictionary_fr_FR.js","text/javascript","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/library/pictures/footer/rea_contact-2025.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.rougier-ple.fr/peinture-chaussures-vetements.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/peinture-chaussures-vetements.r.html","",""
"https://www.rougier-ple.fr/chevalet-1587.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/chevalet-1587.r.html","",""
"https://www.rougier-ple.fr/dessin-technique.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/dessin-technique.r.html","",""
"https://www.rougier-ple.fr/VAD/resources/fr_FR/css/screen.css?2","text/css","200","OK","1.1","Indexable","","","",""
