"Adresse","Title 1","Occurrences","Hreflang HTML 1","URL hreflang HTML 1","Hreflang HTML 2","URL hreflang HTML 2","Hreflang HTTP 1","URL hreflang HTTP 1","Hreflang du sitemap 1","URL hreflang du sitemap 1","Indexabilité","Statut d'indexabilité"
"https://www.infopro-digital.com/fr/cgv/publicite-presse-internet-et-referencement/","Conditions générales de vente d’Espace Publicitaire Presse, Internet et Référencement (dernière mise à jour 10/2025) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/webinars/","Conditions générales de vente - Service de Webinars (dernière mise à jour 07/2025) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-france-infopro-digital-stories/","General terms and conditions of sale France - Infopro Digital Stories (last update 02/2026)  - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/infopro-data/","Conditions générales de vente – Service IPDATA (dernière mise à jour 07/2024) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/infopro-digital-etudes/","Conditions générales de vente – Infopro Digital Etudes (dernière mise à jour 7/2024) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-formations/","Conditions Générales de Vente Formations (dernière mise à jour 03/2025) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/conditions-generales-de-vente-trophees/","Conditions Générales de Vente Trophées (dernière mise à jour 07/2024) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/general-terms-and-conditions-of-sale-ipd-leads-service-last-updated-10-2025/","GENERAL TERMS AND CONDITIONS OF SALE - IPD LEADS SERVICE (last updated 10.2025) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/fr/cgv/infopro-digital-stories/","Conditions générales de vente – Infopro Digital Stories (dernière mise à jour 02/2026) - Infopro Digital","0","","","","","","","","","Indexable",""
"https://www.infopro-digital.com/group/about-us/","Digital expertise serving companies and professionals","2","fr","https://www.infopro-digital.com/fr/groupe/a-propos/","en","https://www.infopro-digital.com/group/about-us/","","","","","Indexable",""
"https://www.infopro-digital.com/news/john-van-der-valk-joins-infopro-digital-as-managing-director-trade-shows/","John van der Valk joins Infopro Digital as Managing Director Trade Shows - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/","en","https://www.infopro-digital.com/news/john-van-der-valk-joins-infopro-digital-as-managing-director-trade-shows/","","","","","Indexable",""
"https://www.infopro-digital.com/news/supporting-return-to-work-after-cancer/","Supporting Return to Work After Cancer - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/actualites/aider-au-retour-a-lemploi-apres-cancer/","en","https://www.infopro-digital.com/news/supporting-return-to-work-after-cancer/","","","","","Indexable",""
